Prefix	Last	First	Suffix	FilingType	StateDst	Year	Filing Year	FilingDate	DocID	DisclosureType
HONORABLE	ABERCROMBIE	NEIL		O	HI01	2008	2007	5/15/2008	8135597	FD
HONORABLE	ACKERMAN	GARY L.		O	NY05	2008	2007	5/15/2008	8135598	FD
HONORABLE	ADERHOLT	ROBERT B.		A	AL04	2008	2007	1/7/2009	8139590	FD
HONORABLE	ADERHOLT	ROBERT B.		O	AL04	2008	2007	5/15/2008	8135599	FD
HONORABLE	AKIN	W. TODD		O	MO02	2008	2007	5/15/2008	8135600	FD
HONORABLE	ALEXANDER	RODNEY		O	LA05	2008	2007	5/14/2008	8135601	FD
HONORABLE	ALLEN	THOMAS H.		O	ME01	2008	2007	5/15/2008	8135602	FD
HONORABLE	ALTMIRE	JASON		O	PA04	2008	2007	5/14/2008	8135603	FD
HONORABLE	ALTMIRE	JASON		A	PA04	2008	2007	3/26/2009	8139862	FD
HONORABLE	ANDREWS	ROBERT E.		O	NJ01	2008	2007	5/15/2008	8135604	FD
HONORABLE	ARCURI	MICHAEL A.		O	NY24	2008	2007	5/15/2008	8135605	FD
HONORABLE	BACA	JOE		A	CA43	2008	2007	7/9/2008	8138827	FD
HONORABLE	BACA	JOE		O	CA43	2008	2007	5/15/2008	8135606	FD
HONORABLE	BACHMANN	MICHELE		O	MN06	2008	2007	6/16/2008	8203164	FD
HONORABLE	BACHUS	SPENCER		O	AL06	2008	2007	5/15/2008	8138328	FD
HONORABLE	BAIRD	BRIAN		O	WA03	2008	2007	5/15/2008	8135608	FD
HONORABLE	BAIRD	BRIAN		A	WA03	2008	2007	7/30/2008	8138985	FD
HONORABLE	BALDWIN	TAMMY		O	WI02	2008	2007	5/14/2008	8135609	FD
	BARLETTA	LOU		O	PA11	2008	2007	3/24/2013	8135284	FD
HONORABLE	BARRETT	J. GRESHAM		O	SC03	2008	2007	5/15/2008	8135610	FD
HONORABLE	BARROW	JOHN		O	GA12	2008	2007	4/29/2008	8135611	FD
HONORABLE	BARTLETT	ROSCOE G.		A	MD06	2008	2007	6/24/2008	8138784	FD
HONORABLE	BARTLETT	ROSCOE G.		A	MD06	2008	2007	5/14/2009	8140036	FD
HONORABLE	BARTLETT	ROSCOE G.		A	MD06	2008	2007	7/31/2008	8138977	FD
HONORABLE	BARTLETT	ROSCOE G.		O	MD06	2008	2007	5/15/2008	8135612	FD
HONORABLE	BARTON	JOE		A	TX06	2008	2007	7/24/2008	8138935	FD
HONORABLE	BARTON	JOE		O	TX06	2008	2007	5/15/2008	8135613	FD
HONORABLE	BEAN	MELISSA L.		O	IL08	2008	2007	5/15/2008	8135614	FD
HONORABLE	BECERRA	XAVIER		O	CA31	2008	2007	6/30/2008	8138800	FD
HONORABLE	BERKLEY	SHELLEY		O	NV01	2008	2007	5/9/2008	8135615	FD
