Prefix	Last	First	Suffix	FilingType	StateDst	Year	Filing Year	FilingDate	DocID	DisclosureType
	ANDEL	ELLEN		O	FL18	2013	2012	7/17/2013	8212622	FD
	ANDEL	MICHAEL R.		O	GA13	2013	2012	4/30/2013	8210950	FD
	ANDERSON	BLAIR CAMERON		T	MA01	2013	2013	2/7/2013	8209822	FD
	ANDERSON	DAVID G.		T	WI07	2013	2013	1/10/2014	8213839	FD
	ANDERSON	DAVID G.		O	WI07	2013	2012	5/15/2013	8211640	FD
	ANDERSON	DOUGLAS C.		O	IR00	2013	2012	5/14/2013	8211534	FD
	ANDERSON	IKAIKA		O	HI01	2013	2012	9/11/2013	8213107	FD
	ANDERSON	JOHN T.		O	TI00	2013	2012	5/15/2013	8211642	FD
	ANDERSON	MARK J.		A	NE02	2013	2012	9/25/2013	8213146	FD
	ANDERSON	MARK J.		O	NE02	2013	2012	5/9/2013	8211218	FD
	ANDERSON	QUENTIN ANTHONY		D	LA06	2013	2013	10/17/2013	8213249	FD
	ANDERSON LEE	MICHELLE D.		O	PA02	2013	2012	5/14/2013	8211535	FD
	ANDERSON LEE	MICHELLE D.		A	PA02	2013	2012	10/16/2013	8213264	FD
	ANDRES	GARY J.		O	CM00	2013	2012	5/8/2013	8211173	FD
	ANDREWS	ANTHONY		O	LC00	2013	2012	4/17/2013	8210784	FD
	ANDREWS	NAOMI E.		O	NH01	2013	2012	3/13/2013	8209991	FD
HONORABLE	ANDREWS	ROBERT E.		O	NJ01	2013	2012	5/14/2013	8211957	FD
	ANDREWS	THOMAS		O	AO00	2013	2012	6/25/2013	8212370	FD
	ANFINSON	SUSAN		O	NE01	2013	2012	4/25/2013	8210904	FD
	ANFINSON	THOMAS EDWARD		O	TN07	2013	2012	4/25/2013	8210905	FD
	ANFINSON	THOMAS ELMER		O	NC03	2013	2012	4/23/2013	8210872	FD
	ANGLADE	WOODY		O	CV00	2013	2012	11/20/2013	8213516	FD
	ANSLEY	STEPHEN P.		O	AP00	2013	2012	5/8/2013	8211174	FD
	ANTELL	GEOFFREY D.		X	WM00	2013	2012	5/16/2013	8210497	FD
	ANTELL	GEOFFREY D.		O	WM00	2013	2012	7/15/2013	8212591	FD
	ANTHONY	MARY C. HAWLEY		O	CB00	2013	2012	5/10/2013	8211279	FD
	APELBAUM	PERRY		X	JU00	2013	2012	5/14/2013	8210364	FD
	APELBAUM	PERRY		O	JU00	2013	2012	8/13/2013	8212959	FD
	APPEL	STACI		X	IA03	2013	2012	8/5/2013	8212798	FD
	APPEL	STACI		O	IA03	2013	2012	10/24/2013	8213314	FD
	APPLETON	SETH D.		O	MO03	2013	2012	5/6/2013	8211078	FD
	ARAGO	ALEC J.		O	CA20	2013	2012	5/23/2013	9102862	FD
	ARANGIO	JENNIFER		O	HM00	2013	2012	5/15/2013	8211644	FD
	ARCANGELI	PAUL		O	NS00	2013	2012	5/14/2013	8211536	FD
	ARCHER	TIMOTHY		O	GP00	2013	2012	5/14/2013	8211537	FD
	ARIALE	JOHN M.		O	FL04	2013	2012	5/14/2013	8211538	FD
	ARIALE	JOHN M.		T	FL04	2013	2013	2/10/2014	8213997	FD
	ARKOOSH	VALERIE ANN		X	PA13	2013	2012	5/15/2013	8210454	FD
	ARKOOSH	VALERIE ANN		O	PA13	2013	2012	6/19/2013	8212350	FD
	ARNOLD	BRUCE G.		O	CB00	2013	2012	5/10/2013	8211280	FD
	ARNOLD	ROBERT W.		O	CB00	2013	2012	5/15/2013	8211645	FD
	ARTERBURN	TONY EDWARD	JR.	D	TX04	2013	2013	5/24/2013	9103146	FD
	ARTHUR	BRUCE T.		O	AC00	2013	2012	5/3/2013	8211036	FD
	ARTHUR	CAMILLA S.		O	AO00	2013	2012	5/7/2013	8211121	FD
	ARTHUR	DAVID A.		O	CB00	2013	2012	5/10/2013	8211281	FD
	ASH	MICHELLE H.		O	CM00	2013	2012	5/15/2013	8211637	FD
	ASHFORD	JEFFREY H.		O	AP00	2013	2012	5/7/2013	8211122	FD
	ASHLEY	JAMES B.		T	AZ03	2013	2013	3/27/2013	8210019	FD
	ASHLEY	JOHN H.		O	LC00	2013	2012	6/4/2013	8212154	FD
	ASHMAWY	OMAR S.		O	CE00	2013	2012	5/14/2013	8211539	FD
	ASSAD	MIKE		O	NJ02	2013	2012	7/15/2013	8212565	FD
	ASSELBAYE	AMY		O	HI02	2013	2012	2/11/2013	8209836	FD
	ASSELBAYE	AMY		A	HI02	2013	2012	5/23/2013	8210781	FD
	ASSELBAYE	AMY		T	HI02	2013	2013	9/13/2013	8213117	FD
	ATCHISON	DARRYL A.		O	AO00	2013	2012	5/7/2013	8211123	FD
	ATKINSON	RODERICK D.		O	LC00	2013	2012	5/15/2013	8211638	FD
	AUSTIN	CHRIS		O	CA03	2013	2012	5/10/2013	8211282	FD
	AUSTIN	DAVID H.		O	CB00	2013	2012	5/15/2013	8211630	FD
	AUSTIN	NICOLE C.		T	BA00	2013	2013	1/25/2013	8209723	FD
HONORABLE	AUSTRIA	STEVE		T	OH07	2013	2013	2/21/2013	8209884	FD
	AVANT	ISSAC L.		O	MS02	2013	2012	5/15/2013	8211636	FD
	AVCIN	SUSAN V.		A	AP00	2013	2012	9/24/2013	8213147	FD
	AVCIN	SUSAN V.		O	AP00	2013	2012	5/6/2013	8211079	FD
	AWAN	ABID A.		O	CA16	2013	2012	5/15/2013	8211635	FD
	AWAN	IMRAN		O	CA34	2013	2012	5/14/2013	8211540	FD
	AWAN	IMRAN		A	CA34	2013	2012	10/16/2013	8213265	FD
	AWAN	OMAR		O	AO00	2013	2012	6/7/2013	8212191	FD
	AYERS	STEPHEN T.		O	AC00	2013	2012	5/14/2013	8211541	FD
DR.	BABIN	BRIAN		O	TX36	2013	2012	2/6/2014	8213998	FD
	BACA	JOE		O	CA35	2013	2012	5/14/2013	8210788	FD
HONORABLE	BACA	JOE		T	CA43	2013	2013	11/30/2012	8209504	FD
HONORABLE	BACA	JOE		T	CA43	2013	2013	1/31/2013	8209747	FD
HONORABLE	BACHMANN	MICHELE		X	MN06	2013	2012	5/17/2013	8210532	FD
HONORABLE	BACHMANN	MICHELE		O	MN06	2013	2012	6/13/2013	8212267	FD
HONORABLE	BACHUS	SPENCER		X	AL06	2013	2012	4/15/2013	8210105	FD
HONORABLE	BACHUS	SPENCER		O	AL06	2013	2012	8/14/2013	8212965	FD
	BACKES	RONALD W.		O	LC00	2013	2012	7/22/2013	8212645	FD
	BADENHOP	KIMBERLY A.		X	ND00	2013	2012	3/25/2013	8210053	FD
	BAER	PETER L.		O	AO00	2013	2012	4/26/2013	8210917	FD
	BAER	TIMOTHY J.		T	MN08	2013	2013	4/10/2013	8210086	FD
	BAHAR	MICHAEL		A	IT00	2013	2012	5/13/2014	8215050	FD
	BAHAR	MICHAEL		O	IT00	2013	2012	5/7/2013	8211124	FD
	BAHM	PETER		X	AC00	2013	2012	5/7/2013	8210218	FD
	BAHM	PETER		O	AC00	2013	2012	7/24/2013	8212691	FD
	BAILEY	JENNIFER N.		X	MI03	2013	2012	5/17/2013	8210568	FD
	BAILEY	JENNIFER N.		O	MI03	2013	2012	7/15/2013	8212592	FD
	BAILEY	JENNIFER N.		A	MI03	2013	2012	10/22/2013	8213300	FD
	BAILEY	JOEL		O	UT04	2013	2012	5/9/2013	8211220	FD
	BAILEY	TERESA		X	AC00	2013	2012	5/16/2013	8210531	FD
	BAILEY	TERESA		O	AC00	2013	2012	7/22/2013	8212639	FD
	BAISH	MARY		X	GP00	2013	2012	5/14/2013	8210459	FD
	BAISH	MARY		X	GP00	2013	2012	7/12/2013	8212567	FD
	BAISH	MARY		A	GP00	2013	2012	10/18/2013	8213266	FD
	BAISH	MARY		O	GP00	2013	2012	8/7/2013	8212820	FD
	BAKER	ANDREW W.		X	AG00	2013	2012	5/10/2013	8210302	FD
	BAKER	ANDREW W.		O	AG00	2013	2012	8/13/2013	8212940	FD
	BAKER	ANTHONY R.		O	CT05	2013	2012	5/15/2013	8211683	FD
	BAKER	BRETT T.		O	WM00	2013	2012	6/14/2013	8212324	FD
	BAKER	TIMOTHY R.		O	GA14	2013	2012	5/6/2013	8211080	FD
	BALDAUF	SARAH E.		T	CA13	2013	2013	3/25/2013	8210020	FD
HONORABLE	BALDWIN	TAMMY		E	WI02	2013	2013	6/13/2013	8212266	FD
HONORABLE	BALDWIN	TAMMY		B	WI02	2013	2013	5/2/2013	8210195	FD
	BALDWIN	VALERIE L.		O	AP00	2013	2012	5/28/2013	9103126	FD
	BALIS	ELLEN		O	BY00	2013	2012	5/13/2013	8211370	FD
	BALKEMA	CHRIS		O	IL11	2013	2012	5/17/2013	8210789	FD
	BALL	SCHARON L.		O	CP00	2013	2012	5/14/2013	8211542	FD
	BALLOU	ERNEST W.	JR.	O	LG00	2013	2012	5/13/2013	8211371	FD
	BALTIMORE	JASON		O	AC00	2013	2012	4/26/2013	8210918	FD
	BALTZAN	ELIZABETH V.		O	WM00	2013	2012	5/20/2013	9102830	FD
	BANDUCCI	ANDREW C.		O	EE00	2013	2012	5/14/2013	8211543	FD
	BANKS	ALVERT Q.		O	LC00	2013	2012	5/15/2013	8211682	FD
	BANKS	JOSEPH S.		O	LC00	2013	2012	6/13/2013	8212256	FD
	BANKS	LINDA M.		O	WA02	2013	2012	4/19/2013	8210840	FD
	BANTHIN	JESSICA S.		A	CB00	2013	2012	7/12/2013	8212593	FD
	BANTHIN	JESSICA S.		O	CB00	2013	2012	5/15/2013	8211651	FD
	BARAN	JEFFERY M.		O	CM00	2013	2012	5/2/2013	8211012	FD
	BARBER	JACKIE		O	SO00	2013	2012	3/21/2013	8210048	FD
HONORABLE	BARBER	RON		A	AZ02	2013	2012	6/13/2013	8212268	FD
