Prefix	Last	First	Suffix	FilingType	StateDst	Year	Filing Year	FilingDate	DocID	DisclosureType
HONORABLE	ABERCROMBIE	NEIL		A	HI01	2009	2008	6/29/2009	8142909	FD
HONORABLE	ABERCROMBIE	NEIL		O	HI01	2009	2008	5/15/2009	8140068	FD
HONORABLE	ACKERMAN	GARY L.		A	NY05	2009	2008	7/27/2009	8143056	FD
HONORABLE	ACKERMAN	GARY L.		A	NY05	2009	2008	12/4/2009	8143701	FD
HONORABLE	ACKERMAN	GARY L.		O	NY05	2009	2008	5/15/2009	8140069	FD
HONORABLE	ADERHOLT	ROBERT B.		A	AL04	2009	2008	11/4/2009	8143571	FD
HONORABLE	ADERHOLT	ROBERT B.		O	AL04	2009	2008	5/15/2009	8140070	FD
HONORABLE	ADLER	JOHN H.		A	NJ03	2009	2008	9/9/2009	8143279	FD
HONORABLE	ADLER	JOHN H.		O	NJ03	2009	2008	5/14/2009	8140071	FD
HONORABLE	AKIN	W. TODD		A	MO02	2009	2008	9/15/2009	8143342	FD
HONORABLE	AKIN	W. TODD		O	MO02	2009	2008	5/14/2009	8140072	FD
HONORABLE	ALEXANDER	RODNEY		O	LA05	2009	2008	5/14/2009	8140073	FD
HONORABLE	ALLEN	THOMAS H.		T	ME01	2009	2009	2/19/2009	8139728	FD
HONORABLE	ALTMIRE	JASON		O	PA04	2009	2008	5/14/2009	8140074	FD
HONORABLE	ANDREWS	ROBERT E.		O	NJ01	2009	2008	5/13/2009	8140075	FD
HONORABLE	ARCURI	MICHAEL A.		A	NY24	2009	2008	6/15/2010	8147820	FD
HONORABLE	ARCURI	MICHAEL A.		O	NY24	2009	2008	5/14/2009	8140076	FD
HONORABLE	AUSTRIA	STEVE		O	OH07	2009	2008	5/15/2009	8140077	FD
HONORABLE	BACA	JOE		A	CA43	2009	2008	6/30/2009	8142910	FD
HONORABLE	BACA	JOE		O	CA43	2009	2008	5/15/2009	8140078	FD
HONORABLE	BACHMANN	MICHELE		O	MN06	2009	2008	6/26/2009	8142829	FD
HONORABLE	BACHUS	SPENCER		A	AL06	2009	2008	6/15/2009	8142781	FD
HONORABLE	BACHUS	SPENCER		O	AL06	2009	2008	5/15/2009	8140079	FD
HONORABLE	BAIRD	BRIAN		O	WA03	2009	2008	5/15/2009	8140080	FD
HONORABLE	BALDWIN	TAMMY		O	WI02	2009	2008	5/15/2009	8140081	FD
HONORABLE	BARRETT	J. GRESHAM		O	SC03	2009	2008	5/14/2009	8140084	FD
