Prefix	Last	First	Suffix	FilingType	StateDst	Year	Filing Year	FilingDate	DocID	DisclosureType
	ABBOTT	JESSICA A.		O	AO00	2012	2011	5/14/2012	9101116	FD
	ABEL	AMY		X	LC00	2012	2011	5/15/2012	8207175	FD
	ABEL	AMY		O	LC00	2012	2011	5/21/2012	8205984	FD
	ABERNATHY	SARAH L.		O	BU00	2012	2011	5/10/2012	9100866	FD
	ABOUCHAR	KEITH S.		A	NW00	2012	2011	1/8/2013	8209617	FD
	ABOUCHAR	KEITH S.		X	NW00	2012	2011	5/11/2012	8207134	FD
	ABOUCHAR	KEITH S.		O	NW00	2012	2011	8/7/2012	8207011	FD
HONORABLE	ACKERMAN	GARY L.		O	NY05	2012	2011	5/14/2012	8205342	FD
	ACS	GREGORY P.		T	CB00	2012	2012	4/20/2012	8204955	FD
	ADAMI	ASA BLAKE		O	TX27	2012	2011	5/3/2012	9100722	FD
	ADAMS	ANTHONY T.		O	CA08	2012	2011	4/2/2012	8208047	FD
HONORABLE	ADAMS	SANDY		O	FL24	2012	2011	5/15/2012	8205343	FD
	ADAMS	SUSAN M.		O	AP00	2012	2011	5/15/2012	9101429	FD
	ADAMS	SUSAN P.		O	AC00	2012	2011	5/9/2012	8205278	FD
	ADAMSON	JEREMY E.		O	LC00	2012	2011	5/15/2012	9101430	FD
	ADEDEJI	ADEBAYO M.		A	CB00	2012	2011	7/6/2012	8206531	FD
	ADEDEJI	ADEBAYO M.		O	CB00	2012	2011	5/4/2012	9100750	FD
HONORABLE	ADERHOLT	ROBERT B.		X	AL04	2012	2011	5/16/2012	8206875	FD
HONORABLE	ADERHOLT	ROBERT B.		O	AL04	2012	2011	6/6/2012	8206197	FD
	ADLER	ANN A.		O	TI00	2012	2011	5/4/2012	9100751	FD
	ADLER	SHELLEY		O	NJ03	2012	2011	5/11/2012	8208356	FD
	AHEARN	RAYMOND J.		T	LC00	2012	2012	2/13/2013	8209860	FD
	AHEARN	RAYMOND J.		O	LC00	2012	2011	5/14/2012	9101117	FD
	AIKEN	TIMOTHY B.		X	VA08	2012	2011	5/15/2012	8207176	FD
	AIKEN	TIMOTHY B.		O	VA08	2012	2011	7/12/2012	8206605	FD
	AIKEN	TIMOTHY B.		A	VA08	2012	2011	10/23/2012	8209300	FD
	AIMARO PHETO	BEVERLY		O	AP00	2012	2011	5/11/2012	8205103	FD
	AIRIS	JANET F.		O	CB00	2012	2011	5/11/2012	9100950	FD
HONORABLE	AKIN	W. TODD		A	MO02	2012	2011	10/2/2012	8209053	FD
HONORABLE	AKIN	W. TODD		A	MO02	2012	2011	11/28/2012	8209486	FD
HONORABLE	AKIN	W. TODD		O	MO02	2012	2011	5/9/2012	8205344	FD
	AKPINAR	BAHADIR		O	LC00	2012	2011	5/14/2012	9101118	FD
	ALBRIGHT	LESLIE F.		O	AP00	2012	2011	5/15/2012	9101449	FD
	ALEXANDER	LAVERNE		O	NJ10	2012	2011	5/15/2012	9101431	FD
HONORABLE	ALEXANDER	RODNEY		O	LA05	2012	2011	5/9/2012	8205345	FD
	ALEXANDER	THOMAS A.		O	GO00	2012	2011	5/15/2012	9101432	FD
	ALIOTO	NICOLE D.		O	CA11	2012	2011	7/12/2012	8206606	FD
	ALLEGAR	ROBERT H.		O	GP00	2012	2011	5/16/2012	9101865	FD
	ALLEGAR	ROBERT H.		A	GP00	2012	2011	7/18/2012	8206658	FD
	ALLEN	AMBER		X	MS01	2012	2011	5/17/2012	8207316	FD
	ALLEN	AMBER		O	MS01	2012	2011	5/21/2012	8205987	FD
	ALLEN	JOSEPH MICHAEL	III	A	IT00	2012	2011	7/5/2013	8212472	FD
	ALLEN	JOSEPH MICHAEL	III	X	IT00	2012	2011	5/22/2012	8207362	FD
	ALLEN	JOSEPH MICHAEL	III	O	IT00	2012	2011	7/16/2012	8206567	FD
	ALLEN	KARL M.		O	GP00	2012	2011	5/15/2012	9101433	FD
	ALLEN	SARAH L.		O	JU00	2012	2011	5/23/2012	9101964	FD
	ALSALAM	NABEEL A.		A	CB00	2012	2011	7/16/2012	8206607	FD
	ALSALAM	NABEEL A.		O	CB00	2012	2011	5/15/2012	9101434	FD
