Prefix	Last	First	Suffix	FilingType	StateDst	Year	Filing Year	FilingDate	DocID	DisclosureType
HONORABLE	ABERCROMBIE	NEIL		T	HI01	2010	2010	5/24/2010	8144403	FD
HONORABLE	ACKERMAN	GARY L.		O	NY05	2010	2009	5/17/2010	8146065	FD
HONORABLE	ADERHOLT	ROBERT B.		O	AL04	2010	2009	6/15/2010	8147714	FD
HONORABLE	ADLER	JOHN H		O	NJ03	2010	2009	5/19/2010	8146066	FD
HONORABLE	AKIN	W. TODD		O	MO02	2010	2009	5/13/2010	8146067	FD
HONORABLE	ALEXANDER	RODNEY		O	LA05	2010	2009	5/18/2010	8146068	FD
HONORABLE	ALTMIRE	JASON		A	PA04	2010	2009	6/28/2010	8147970	FD
HONORABLE	ALTMIRE	JASON		O	PA04	2010	2009	5/13/2010	8146069	FD
HONORABLE	ANDREWS	ROBERT E.		O	NJ01	2010	2009	5/13/2010	8146070	FD
HONORABLE	ARCURI	MICHAEL A.		O	NY24	2010	2009	6/15/2010	8147746	FD
HONORABLE	AUSTRIA	STEVE		O	OH07	2010	2009	5/17/2010	8146071	FD
HONORABLE	BACA	JOE		O	CA43	2010	2009	5/12/2010	8147616	FD
HONORABLE	BACHMANN	MICHELE		O	MN06	2010	2009	6/16/2010	8147822	FD
HONORABLE	BACHUS	SPENCER		O	AL06	2010	2009	5/17/2010	8146743	FD
HONORABLE	BACHUS	SPENCER		A	AL06	2010	2009	10/5/2011	8204063	FD
HONORABLE	BAIRD	BRIAN		A	WA03	2010	2009	6/9/2010	8147604	FD
HONORABLE	BAIRD	BRIAN		O	WA03	2010	2009	5/13/2010	8146744	FD
HONORABLE	BALDWIN	TAMMY		O	WI02	2010	2009	5/17/2010	8146747	FD
HONORABLE	BARRETT	J. GRESHAM		O	SC03	2010	2009	5/14/2010	8146748	FD
HONORABLE	BARROW	JOHN		O	GA12	2010	2009	5/17/2010	8146749	FD
HONORABLE	BARTLETT	ROSCOE G.		O	MD06	2010	2009	5/12/2010	8146750	FD
HONORABLE	BARTON	JOE		O	TX06	2010	2009	5/14/2010	8146751	FD
HONORABLE	BEAN	MELISSA L.		O	IL08	2010	2009	5/17/2010	8146752	FD
HONORABLE	BECERRA	XAVIER		O	CA31	2010	2009	6/15/2010	8147716	FD
HONORABLE	BERKLEY	SHELLEY		O	NV01	2010	2009	5/17/2010	8146753	FD
HONORABLE	BERMAN	HOWARD L.		O	CA28	2010	2009	7/15/2010	8148163	FD
HONORABLE	BERRY	MARION		O	AR01	2010	2009	5/17/2010	8146754	FD
HONORABLE	BIGGERT	JUDY		A	IL13	2010	2009	7/2/2010	8148020	FD
HONORABLE	BIGGERT	JUDY		A	IL13	2010	2009	7/7/2010	8148021	FD
HONORABLE	BIGGERT	JUDY		A	IL13	2010	2009	8/12/2010	8148467	FD
HONORABLE	BIGGERT	JUDY		A	IL13	2010	2009	6/14/2011	8203010	FD
HONORABLE	BIGGERT	JUDY		O	IL13	2010	2009	5/14/2010	8146755	FD
HONORABLE	BILBRAY	BRIAN P.		A	CA50	2010	2009	6/18/2010	8147867	FD
HONORABLE	BILBRAY	BRIAN P.		A	CA50	2010	2009	6/18/2010	8147879	FD
HONORABLE	BILBRAY	BRIAN P.		A	CA50	2010	2009	6/29/2010	8147981	FD
HONORABLE	BILBRAY	BRIAN P.		A	CA50	2010	2009	7/12/2010	8148073	FD
HONORABLE	BILBRAY	BRIAN P.		O	CA50	2010	2009	5/13/2010	8146756	FD
HONORABLE	BILIRAKIS	GUS M.		A	FL09	2010	2009	5/13/2011	9100147	FD
HONORABLE	BILIRAKIS	GUS M.		O	FL09	2010	2009	5/12/2010	8146757	FD
HONORABLE	BISHOP	ROB		O	UT01	2010	2009	5/17/2010	8146758	FD
HONORABLE	BISHOP	SANFORD D.	JR.	O	GA02	2010	2009	5/13/2010	8146759	FD
HONORABLE	BISHOP	TIMOTHY H.		O	NY01	2010	2009	5/12/2010	8146760	FD
HONORABLE	BLACKBURN	MARSHA		O	TN07	2010	2009	5/14/2010	8146761	FD
HONORABLE	BLUMENAUER	EARL		A	OR03	2010	2009	5/24/2011	9100193	FD
HONORABLE	BLUMENAUER	EARL		O	OR03	2010	2009	5/20/2010	8146762	FD
HONORABLE	BLUNT	ROY		O	MO07	2010	2009	5/14/2010	8146763	FD
HONORABLE	BOCCIERI	JOHN A.		A	OH16	2010	2009	7/2/2010	8148023	FD
HONORABLE	BOCCIERI	JOHN A.		O	OH16	2010	2009	5/17/2010	8146764	FD
HONORABLE	BOEHNER	JOHN A.		O	OH08	2010	2009	5/14/2010	8146765	FD
HONORABLE	BONNER	JO		O	AL01	2010	2009	5/17/2010	8146766	FD
HONORABLE	BONO MACK	MARY		O	CA45	2010	2009	5/13/2010	8147323	FD
HONORABLE	BOOZMAN	JOHN		O	AR03	2010	2009	5/13/2010	8146767	FD
HONORABLE	BORDALLO	MADELEINE Z.		O	GU00	2010	2009	5/12/2010	8146768	FD
HONORABLE	BOREN	DAN		O	OK02	2010	2009	5/17/2010	8146769	FD
HONORABLE	BOSWELL	LEONARD L.		O	IA03	2010	2009	5/13/2010	8146770	FD
HONORABLE	BOUCHER	RICK		A	VA09	2010	2009	5/19/2010	8146772	FD
HONORABLE	BOUCHER	RICK		O	VA09	2010	2009	5/13/2010	8146771	FD
HONORABLE	BOUSTANY	CHARLES W.	JR.	O	LA07	2010	2009	5/21/2010	8147109	FD
HONORABLE	BOYD	ALLEN		A	FL02	2010	2009	7/16/2010	8148183	FD
HONORABLE	BOYD	ALLEN		O	FL02	2010	2009	5/17/2010	8147110	FD
HONORABLE	BRADY	KEVIN		O	TX08	2010	2009	6/28/2010	8147971	FD
HONORABLE	BRADY	ROBERT A.		A	PA01	2010	2009	6/20/2012	8206426	FD
HONORABLE	BRADY	ROBERT A.		O	PA01	2010	2009	5/17/2010	8147111	FD
HONORABLE	BRALEY	BRUCE L.		O	IA01	2010	2009	5/17/2010	8147112	FD
HONORABLE	BRIGHT	BOBBY		A	AL02	2010	2009	12/7/2010	8200053	FD
HONORABLE	BRIGHT	BOBBY		O	AL02	2010	2009	5/13/2010	8147113	FD
HONORABLE	BROOKS	MO		A	AL05	2010	2009	7/13/2011	8203335	FD
HONORABLE	BROUN	PAUL C.		A	GA10	2010	2009	1/2/2014	8213739	FD
HONORABLE	BROUN	PAUL C.		O	GA10	2010	2009	5/13/2010	8147114	FD
HONORABLE	BROWN	CORRINE		O	FL03	2010	2009	5/17/2010	8147115	FD
HONORABLE	BROWN	HENRY E.	JR.	O	SC01	2010	2009	5/13/2010	8147116	FD
HONORABLE	BROWN-WAITE	GINNY		O	FL05	2010	2009	5/17/2010	8147117	FD
HONORABLE	BUCHANAN	VERN		A	FL13	2010	2009	9/15/2011	8203971	FD
HONORABLE	BUCHANAN	VERN		O	FL13	2010	2009	5/17/2010	8147121	FD
HONORABLE	BURGESS	MICHAEL C.		O	TX26	2010	2009	6/16/2010	8147823	FD
HONORABLE	BURTON	DAN		O	IN05	2010	2009	8/10/2010	8148444	FD
HONORABLE	BUTTERFIELD	G. K.		O	NC01	2010	2009	5/17/2010	8147118	FD
HONORABLE	BUTTERFIELD	G. K.		A	NC01	2010	2009	5/21/2010	8147119	FD
HONORABLE	BUYER	STEVE		O	IN04	2010	2009	5/17/2010	8147120	FD
HONORABLE	CALVERT	KEN		O	CA44	2010	2009	5/14/2010	8147122	FD
HONORABLE	CAMP	DAVE		O	MI04	2010	2009	6/17/2010	8147824	FD
HONORABLE	CAMPBELL	JOHN		O	CA48	2010	2009	6/16/2010	8147825	FD
HONORABLE	CANSECO	FRANCISCO R.		O	TX23	2010	2009	6/28/2011	8203198	FD
HONORABLE	CANTOR	ERIC		A	VA07	2010	2009	3/7/2012	8204772	FD
HONORABLE	CANTOR	ERIC		O	VA07	2010	2009	5/17/2010	8147123	FD
HONORABLE	CAO	ANH "JOSEPH"		O	LA02	2010	2009	6/16/2010	8147826	FD
HONORABLE	CAPITO	SHELLEY MOORE		O	WV02	2010	2009	5/17/2010	8147124	FD
HONORABLE	CAPPS	LOIS		O	CA23	2010	2009	5/17/2010	8147125	FD
HONORABLE	CAPUANO	MICHAEL E.		O	MA08	2010	2009	5/12/2010	8147126	FD
HONORABLE	CARDOZA	DENNIS A.		O	CA18	2010	2009	5/17/2010	8147127	FD
HONORABLE	CARNAHAN	RUSS		O	MO03	2010	2009	5/17/2010	8147128	FD
HONORABLE	CARNEY	CHRISTOPHER P.		A	PA10	2010	2009	8/3/2010	8148376	FD
HONORABLE	CARNEY	CHRISTOPHER P.		O	PA10	2010	2009	5/27/2010	8147129	FD
HONORABLE	CARSON	ANDRE		O	IN07	2010	2009	5/17/2010	8147130	FD
HONORABLE	CARTER	JOHN R.		O	TX31	2010	2009	5/14/2010	8147131	FD
HONORABLE	CASSIDY	BILL		O	LA06	2010	2009	6/15/2010	8147717	FD
	CASSIL	DAN		A	AC00	2010	2009	5/14/2012	8205097	FD
HONORABLE	CASTLE	MICHAEL N.		A	DE00	2010	2009	2/15/2011	9100021	FD
HONORABLE	CASTLE	MICHAEL N.		A	DE00	2010	2009	8/30/2010	8148746	FD
HONORABLE	CASTLE	MICHAEL N.		O	DE00	2010	2009	5/24/2010	8147133	FD
HONORABLE	CASTOR	KATHY		O	FL11	2010	2009	5/17/2010	8147132	FD
HONORABLE	CHAFFETZ	JASON		O	UT03	2010	2009	5/12/2010	8147134	FD
HONORABLE	CHANDLER	BEN		O	KY06	2010	2009	5/12/2010	8147135	FD
HONORABLE	CHILDERS	TRAVIS W.		O	MS01	2010	2009	5/17/2010	8147136	FD
HONORABLE	CHRISTENSEN	DONNA M.		O	VI00	2010	2009	5/14/2010	8147137	FD
HONORABLE	CHU	JUDY		A	CA32	2010	2009	5/31/2011	8202923	FD
HONORABLE	CHU	JUDY		A	CA32	2010	2009	7/19/2010	8148188	FD
HONORABLE	CHU	JUDY		O	CA32	2010	2009	5/17/2010	8147138	FD
HONORABLE	CLARKE	YVETTE D.		O	NY11	2010	2009	5/17/2010	8147141	FD
HONORABLE	CLAY	WM. LACY		O	MO01	2010	2009	4/28/2010	8147139	FD
HONORABLE	CLEAVER	EMANUEL		A	MO05	2010	2009	7/15/2010	8148185	FD
HONORABLE	CLEAVER	EMANUEL		A	MO05	2010	2009	5/15/2012	8205085	FD
HONORABLE	CLEAVER	EMANUEL		O	MO05	2010	2009	5/17/2010	8147142	FD
HONORABLE	CLYBURN	JAMES E.		A	SC06	2010	2009	8/20/2010	8148649	FD
HONORABLE	CLYBURN	JAMES E.		O	SC06	2010	2009	5/14/2010	8147143	FD
HONORABLE	CLYBURN	JAMES E.		A	SC06	2010	2009	1/31/2011	8200132	FD
HONORABLE	COBLE	HOWARD		O	NC06	2010	2009	5/17/2010	8147144	FD
HONORABLE	COFFMAN	MIKE		A	CO06	2010	2009	9/15/2010	8148929	FD
HONORABLE	COFFMAN	MIKE		O	CO06	2010	2009	5/25/2010	8147145	FD
HONORABLE	COHEN	STEVE		A	TN09	2010	2009	7/15/2010	8148184	FD
HONORABLE	COHEN	STEVE		A	TN09	2010	2009	6/15/2011	8203099	FD
HONORABLE	COHEN	STEVE		O	TN09	2010	2009	5/26/2010	8147149	FD
HONORABLE	COLE	TOM		A	OK04	2010	2009	6/11/2010	8147605	FD
HONORABLE	COLE	TOM		O	OK04	2010	2009	5/17/2010	8147147	FD
HONORABLE	CONAWAY	K. MICHAEL		A	TX11	2010	2009	8/12/2010	8148468	FD
HONORABLE	CONAWAY	K. MICHAEL		O	TX11	2010	2009	5/17/2010	8147148	FD
HONORABLE	CONNOLLY	GERALD E.		O	VA11	2010	2009	5/17/2010	8147146	FD
HONORABLE	CONYERS	JOHN	JR.	A	MI14	2010	2009	12/22/2010	8200073	FD
HONORABLE	CONYERS	JOHN	JR.	O	MI14	2010	2009	6/16/2010	8147827	FD
HONORABLE	COOPER	JIM		O	TN05	2010	2009	6/10/2010	8147606	FD
HONORABLE	COSTA	JIM		A	CA20	2010	2009	8/10/2010	8148445	FD
HONORABLE	COSTA	JIM		O	CA20	2010	2009	5/13/2010	8147150	FD
HONORABLE	COSTELLO	JERRY F.		O	IL12	2010	2009	5/17/2010	8147151	FD
HONORABLE	COURTNEY	JOE		O	CT02	2010	2009	5/13/2010	8147152	FD
HONORABLE	CRENSHAW	ANDER		O	FL04	2010	2009	5/13/2010	8147153	FD
	CROCKER	ROYCE		O	LC00	2010	2009	11/16/2015	9107946	FD
	CROCKER	ROYCE		O	LC00	2010	2009	11/16/2015	9107948	FD
