Prefix	Last	First	Suffix	FilingType	StateDst	Year	Filing Year	FilingDate	DocID	DisclosureType
HONORABLE	ACKERMAN	GARY L.		O	NY05	2011	2010	5/12/2011	8201256	FD
HONORABLE	ADAMS	SANDY		O	FL24	2011	2010	5/13/2011	8201257	FD
	ADEDEJI	ADEBAYO M.		A	CB00	2011	2010	5/4/2012	8206784	FD
HONORABLE	ADERHOLT	ROBERT B.		O	AL04	2011	2010	6/15/2011	8203068	FD
HONORABLE	ADLER	JOHN		T	NJ03	2011	2011	2/24/2011	8200278	FD
HONORABLE	ADLER	JOHN		T	NJ03	2011	2011	2/3/2011	8200185	FD
	AIKEN	TIMOTHY B.		A	VA08	2011	2010	7/16/2012	8206604	FD
HONORABLE	AKIN	W. TODD		A	MO02	2011	2010	7/19/2011	8203404	FD
HONORABLE	AKIN	W. TODD		O	MO02	2011	2010	5/13/2011	8201258	FD
HONORABLE	ALEXANDER	RODNEY		O	LA05	2011	2010	5/11/2011	8201259	FD
	ALI	IRAM A.		E	IT00	2011	2011	1/5/2012	8208802	FD
	ALLEN	JOSEPH M.	III	A	IT00	2011	2010	2/8/2012	8206759	FD
	ALLEN	RICHARD W.		O	GA12	2011	2010	2/15/2012	8207941	FD
HONORABLE	ALTMIRE	JASON		O	PA04	2011	2010	5/13/2011	8201260	FD
HONORABLE	AMASH	JUSTIN A.		O	MI03	2011	2010	5/23/2011	8201261	FD
	ANDERSON	JANISH N.		T	LC00	2011	2011	1/20/2012	8204511	FD
	ANDERSON	JASON EDWARD		W	AL05	2011	2011	1/30/2012	8206976	FD
HONORABLE	ANDREWS	ROBERT E.		O	NJ01	2011	2010	5/13/2011	8201262	FD
HONORABLE	ANDREWS	ROBERT E.		A	NJ01	2011	2010	7/7/2011	8203258	FD
	ANSLEY	STEPHEN P.		A	AP00	2011	2010	1/9/2012	8206760	FD
	ANSLEY	STEPHEN P.		A	AP00	2011	2010	9/28/2012	8209034	FD
	ANUZIS	ANDRIUS A.		T	MI11	2011	2011	1/10/2012	8204507	FD
HONORABLE	ARCURI	MICHAEL A.		T	NY24	2011	2011	2/7/2011	8200212	FD
HONORABLE	AUSTRIA	STEVE		O	OH07	2011	2010	5/24/2011	8201263	FD
HONORABLE	AUSTRIA	STEVE		A	OH07	2011	2010	7/21/2011	8203436	FD
	AXSON	SHARON P.		A	SC01	2011	2010	3/21/2012	8206761	FD
HONORABLE	BACA	JOE		O	CA43	2011	2010	5/13/2011	8201513	FD
HONORABLE	BACHMANN	MICHELE		O	MN06	2011	2010	8/12/2011	8203670	FD
HONORABLE	BACHUS	SPENCER		A	AL06	2011	2010	6/15/2011	8203069	FD
HONORABLE	BACHUS	SPENCER		O	AL06	2011	2010	5/16/2011	8201514	FD
HONORABLE	BACHUS	SPENCER		A	AL06	2011	2010	10/4/2011	8204064	FD
HONORABLE	BAIRD	BRIAN		T	WA03	2011	2011	2/11/2011	9100042	FD
	BAKER	TIMOTHY R.		A	GA09	2011	2010	5/15/2012	8206762	FD
HONORABLE	BALDWIN	TAMMY		O	WI02	2011	2010	5/16/2011	8201515	FD
	BAQAI	FARAH S.		O	IL03	2011	2010	2/27/2012	8207946	FD
HONORABLE	BARLETTA	LOU		A	PA11	2011	2010	7/8/2011	8203259	FD
HONORABLE	BARLETTA	LOU		O	PA11	2011	2010	5/13/2011	8201516	FD
	BARNHILL	LEROY		O	GP00	2011	2010	2/15/2012	8207944	FD
HONORABLE	BARRETT	J. GRESHAM		T	SC03	2011	2011	2/4/2011	8200213	FD
HONORABLE	BARROW	JOHN		O	GA12	2011	2010	5/16/2011	8201517	FD
HONORABLE	BARTLETT	ROSCOE G.		O	MD06	2011	2010	6/15/2011	8203070	FD
HONORABLE	BARTON	JOE		O	TX06	2011	2010	5/16/2011	8201518	FD
HONORABLE	BASS	CHARLES F.		A	NH02	2011	2010	7/27/2011	8203465	FD
HONORABLE	BASS	CHARLES F.		O	NH02	2011	2010	5/16/2011	8201519	FD
HONORABLE	BASS	KAREN		O	CA33	2011	2010	5/19/2011	8201520	FD
HONORABLE	BASS	KAREN		A	CA33	2011	2010	4/19/2012	8204945	FD
	BEAN	GALEN W.		T	HM00	2011	2011	1/11/2012	8204512	FD
HONORABLE	BEAN	MELISSA L.		T	IL08	2011	2011	3/10/2011	8200328	FD
	BEATTY	JOYCE		O	OH03	2011	2010	1/6/2012	8207845	FD
	BEATTY	JOYCE		A	OH03	2011	2010	1/2/2013	8209582	FD
HONORABLE	BECERRA	XAVIER		A	CA31	2011	2010	6/14/2012	8206378	FD
HONORABLE	BECERRA	XAVIER		O	CA31	2011	2010	6/14/2011	8203003	FD
	BEMBRY	LEONARD LEE		O	FL02	2011	2010	1/5/2012	8207846	FD
HONORABLE	BENISHEK	DAN		O	MI01	2011	2010	5/12/2011	8201521	FD
HONORABLE	BENISHEK	DAN		A	MI01	2011	2010	7/14/2011	8203349	FD
	BENTIVOLIO	KERRY		O	MI11	2011	2010	1/9/2012	8207847	FD
HONORABLE	BERG	RICK		A	ND00	2011	2010	6/14/2012	8206310	FD
HONORABLE	BERG	RICK		O	ND00	2011	2010	6/14/2011	8202988	FD
HONORABLE	BERKLEY	SHELLEY		O	NV01	2011	2010	5/13/2011	8203400	FD
	BERKOWITZ	PAUL H.		A	CA46	2011	2010	10/23/2012	8209245	FD
HONORABLE	BERMAN	HOWARD L.		O	CA28	2011	2010	6/20/2011	8203119	FD
	BERMUDEZ	NAVIS A.		T	TI00	2011	2011	1/5/2012	8204498	FD
	BERNARDS	STACEY F.		X	ML00	2011	2010	4/27/2012	8207037	FD
	BERNARDS	STACEY F.		T	ML00	2011	2011	1/25/2012	8204547	FD
	BERRY	DIANE L.		T	HM00	2011	2011	2/15/2013	8209859	FD
HONORABLE	BERRY	MARION		T	AR01	2011	2011	2/2/2011	8200186	FD
HONORABLE	BIGGERT	JUDY		O	IL13	2011	2010	6/14/2011	8203004	FD
HONORABLE	BILBRAY	BRIAN P.		O	CA50	2011	2010	6/15/2011	8203071	FD
HONORABLE	BILIRAKIS	GUS M.		O	FL09	2011	2010	5/13/2011	8201645	FD
	BINGEN-TYTLER	KARI A.		T	NS00	2011	2011	1/12/2012	8204513	FD
HONORABLE	BISHOP	ROB		O	UT01	2011	2010	5/16/2011	8201647	FD
HONORABLE	BISHOP	SANFORD D.	JR.	O	GA02	2011	2010	5/13/2011	8201646	FD
HONORABLE	BISHOP	TIMOTHY H.		O	NY01	2011	2010	5/3/2011	8201648	FD
HONORABLE	BLACK	DIANE		O	TN06	2011	2010	6/10/2011	8202989	FD
HONORABLE	BLACKBURN	MARSHA		O	TN07	2011	2010	5/25/2011	8201649	FD
	BLOOMQUIST	MICHAEL D.		A	CM00	2011	2010	9/5/2012	8208211	FD
	BLOOMQUIST	MICHAEL D.		O	CM00	2011	2010	2/28/2012	8207959	FD
HONORABLE	BLUMENAUER	EARL		O	OR03	2011	2010	5/24/2011	8201650	FD
	BLYTH	JONATHAN		A	FL22	2011	2010	5/15/2012	9102123	FD
HONORABLE	BOCCIERI	JOHN A.		T	OH16	2011	2011	2/11/2011	9100043	FD
HONORABLE	BOEHNER	JOHN A.		O	OH08	2011	2010	5/13/2011	8201651	FD
	BONARO	DOUGLAS		O	GP00	2011	2010	2/8/2012	8207912	FD
HONORABLE	BONNER	JO		A	AL01	2011	2010	5/10/2012	8205059	FD
HONORABLE	BONNER	JO		O	AL01	2011	2010	5/16/2011	8201652	FD
HONORABLE	BONO MACK	MARY		O	CA45	2011	2010	5/13/2011	8202640	FD
	BONYUN	SEAN C.		A	MI06	2011	2010	4/10/2012	9100419	FD
HONORABLE	BORDALLO	MADELEINE Z.		O	GU00	2011	2010	5/11/2011	8201653	FD
HONORABLE	BOREN	DAN		O	OK02	2011	2010	5/16/2011	8201654	FD
HONORABLE	BOREN	DAN		A	OK02	2011	2010	7/20/2012	8206657	FD
HONORABLE	BOSWELL	LEONARD L.		O	IA03	2011	2010	5/12/2011	8201655	FD
HONORABLE	BOUCHER	RICK		T	VA09	2011	2011	1/12/2011	8200094	FD
HONORABLE	BOUSTANY	CHARLES W.	JR.	O	LA07	2011	2010	5/13/2011	8201656	FD
HONORABLE	BOYD	ALLEN		T	FL02	2011	2011	2/7/2011	8200214	FD
	BOYD	JUDITH K.		T	IT00	2011	2011	1/25/2012	8204548	FD
	BOYLE	KEVIN J.		A	AO00	2011	2010	3/7/2012	8206764	FD
HONORABLE	BRADY	KEVIN		O	TX08	2011	2010	7/6/2011	8203260	FD
HONORABLE	BRADY	ROBERT A.		O	PA01	2011	2010	5/16/2011	8201657	FD
HONORABLE	BRALEY	BRUCE L.		A	IA01	2011	2010	6/15/2011	8203044	FD
HONORABLE	BRALEY	BRUCE L.		O	IA01	2011	2010	5/16/2011	8201658	FD
	BRENNAN	KEVIN		A	SG00	2011	2010	1/24/2012	8204549	FD
	BREWSTER	CHRISTOPHER A.		O	AO00	2011	2010	8/17/2012	8208545	FD
	BRIDENSTINE	JAMES FREDERICK		A	OK01	2011	2010	12/31/2012	8209600	FD
	BRIDENSTINE	JAMES FREDERICK		O	OK01	2011	2010	3/8/2012	8207988	FD
HONORABLE	BRIGHT	BOBBY		T	AL02	2011	2011	1/24/2011	8200141	FD
HONORABLE	BROOKS	MO		O	AL05	2011	2010	5/13/2011	8201659	FD
HONORABLE	BROUN	PAUL C.		A	GA10	2011	2010	1/2/2014	8213740	FD
HONORABLE	BROUN	PAUL C.		O	GA10	2011	2010	8/12/2011	8203664	FD
	BROWN	BYRON		O	RE00	2011	2010	1/24/2012	8207877	FD
HONORABLE	BROWN	CORRINE		O	FL03	2011	2010	5/16/2011	8201660	FD
